Region,Task,Information,Requirements,Pts
Desert,Complete the quest: One Piercing Note.,Complete One Piercing Note .,See quest page,30
Desert,Complete a lap of the Het's Oasis agility course.,Complete a lap of the Het's Oasis Agility Course .,65 Agility,30
Desert,Defeat the Kalphite Queen.,Defeat the Kalphite Queen .,N/A,30
Desert,Defeat the Kalphite Queen 25 times.,Defeat the Kalphite Queen 25 times.,N/A,30
Desert,Defeat a boss in the Dominion Tower.,Defeat a boss in the Dominion Tower .,N/A,30
Desert,Complete the Easy Desert Diary.,Complete the Easy Desert achievements .,See Easy Desert achievements page,30
Desert,Complete the Medium Desert Diary.,Complete the Medium Desert achievements .,See Medium Desert achievements page,30
Desert,Steal from the lamp stall in Menaphos.,Steal from the lamp stall in Menaphos.,46 Thieving,30
Desert,Catch a catfish.,Catch a raw catfish .,60 Fishing,30
Desert,Restore a Pontifex signet ring.,Restore a pontifex signet ring .,"58 Archaeology A cut dragonstone , which may require 55 Crafting",30
Desert,Search the Grand Gold Chest in room 4 of Pyramid Plunder in Sophanem.,Search the Grand gold chest in room 4 of Pyramid Plunder in Sophanem.,51 Thieving,30
Desert,Search the Grand Gold Chest in room 5 of Pyramid Plunder in Sophanem.,Search the Grand gold chest in room 5 of Pyramid Plunder in Sophanem.,61 Thieving,30
Desert,Search the Grand Gold Chest in room 6 of Pyramid Plunder in Sophanem.,Search the Grand gold chest in room 6 of Pyramid Plunder in Sophanem.,71 Thieving,30
Desert,Complete the quest: Desert Treasure,Complete Desert Treasure .,N/A,30
Desert,Repair the statue of Het at Het's Oasis.,Repair the statue of Het at Het's Oasis .,200 pieces of Het,30
Fremennik,Cast the Moonclan Teleport spell.,Cast the Moonclan Teleport spell.,69 Magic,30
Fremennik,Enter your player-owned house from Rellekka.,Enter your player-owned house from Rellekka .,N/A,30
Fremennik,Craft 50 astral runes.,Craft 50 astral runes .,40 Runecrafting,30
Fremennik,Complete the Penguin Agility Course.,Complete the Penguin Agility Course .,30 Agility,30
Fremennik,Catch a snowy knight.,Catch a snowy knight . They can only be caught at the Rellekka Hunter area .,35 Hunter A butterfly net and jar,30
Fremennik,Defeat a kurask in the Fremennik Province.,Defeat a kurask in the Fremennik Province.,70 Slayer Leaf-bladed spear or other special weapon,30
Fremennik,Defeat a dagannoth in the Fremennik Province.,Defeat a dagannoth in the Fremennik Province.,N/A,30
Fremennik,Equip a helm of Neitiznot.,Equip a helm of Neitiznot .,55 Defence,30
Fremennik,Defeat a jelly in the Fremennik Province.,Defeat a jelly in the Fremennik Province.,52 Slayer,30
Fremennik,Complete the quest: Throne of Miscellania.,Complete Throne of Miscellania .,N/A,30
Fremennik,Equip a granite shield.,Equip a granite shield .,"55 Defence , 55 Strength Either completion of Eadgar's Ruse or partial completion of The Fremennik Isles",30
Fremennik,Defeat any of the Dagannoth Kings.,Defeat any of the Dagannoth Kings 1 time.,N/A,30
Fremennik,Defeat any of the Dagannoth Kings 50 times.,Defeat any of the Dagannoth Kings 50 times.,N/A,30
Fremennik,Complete the Easy Fremennik Diary.,Complete the Easy Fremennik achievements .,See Easy Fremennik achievements page,30
Fremennik,Ride a mine cart into Keldagrim.,Ride a mine cart into Keldagrim.,N/A,30
Fremennik,Travel to the Mammoth Iceberg.,"Travel to the Mammoth iceberg (must travel by boat, Skull of Slaying teleport does not work but can be used to take the boat back and forth).",N/A,30
Fremennik,Steal from the fish stall in Rellekka.,Steal from the fish stall in Rellekka.,42 Thieving,30
Fremennik,Harvest 100 sparkling energy from sparkling wisps.,Harvest 100 sparkling energy from sparkling wisps .,40 Divination,30
Fremennik,Climb to the top of the lighthouse.,Climb to the top of the lighthouse .,N/A,30
Fremennik,Chop 10 arctic pine trees.,Chop 10 arctic pine trees .,54 Woodcutting,30
Fremennik,Kill 25 yaks.,Kill 25 yaks .,N/A,30
Fremennik,Interact with a pet rock.,Interact with a pet rock .,N/A,30
Fremennik,Complete the Medium Fremennik Diary.,Complete the Medium Fremennik achievements .,See Medium Fremennik achievements page,30
Global,Reach level 50 in any skill.,Reach level 50 in any skill.,Any skill at level 50,30
Global,Reach at least level 5 in all non-elite skills.,Reach at least level 5 in all non-elite skills.,All skills except Invention at level 5,30
Global,Reach at least level 10 in all non-elite skills.,Reach at least level 10 in all non-elite skills.,All skills except Invention at level 10,30
Global,Reach at least level 20 in all non-elite skills.,Reach at least level 20 in all non-elite skills.,All skills except Invention at level 20,30
Global,Reach combat level 50.,Reach combat level 50.,50 combat level,30
Global,Reach total level 500.,Reach total level 500. This task is currently bugged and may complete before you have reached 500 total levels,500 total level,30
Global,Mine any ore 200 times.,Mine any ore 200 times.,N/A,30
Global,Chop any tree 200 times.,Chop any tree 200 times.,N/A,30
Global,Chop a willow tree.,Chop a willow tree.,20 Woodcutting,30
Global,Burn any logs 200 times.,Burn any logs 200 times.,N/A,30
Global,Catch any fish 200 times.,Catch any fish 200 times.,N/A,30
Global,Harvest any memory from a wisp 200 times.,Harvest any memory from a wisp 200 times.,N/A,30
Global,Pickpocket anyone 200 times.,Pickpocket anyone 200 times.,N/A,30
Global,Plant seeds in any farming patch 100 times.,Plant seeds in any farming patch 100 times.,N/A,30
Global,Unlock all of the free to play lodestones.,Unlock all of the Free to Play Lodestones .,N/A,30
Global,"Equip a full set of graahk, larupia or kyatt hunter gear.","Equip a full set of graahk , larupia or kyatt hunter gear. Three of each creature's furs (tatty or perfect) are required, along with some coins, to pay the fancy-dress shop owner to create the outfit pieces; the hats can only be created using perfect furs. They are all caught using pitfall trapping . Spined larupia can be caught with level 31 Hunter at the Feldip Hunter area .",31 Hunter to hunt spined larupia,30
Global,Make 200 potions of any kind.,Make 200 potions of any kind.,3 Herblore,30
Global,Clean 200 of any herb.,Clean 200 of any herb.,N/A,30
Global,"Fletch 1,000 arrow shafts.","Fletch 1,000 arrow shafts .",N/A,30
Global,Complete 25 laps of any agility course.,Complete 25 laps of any Agility course.,N/A,30
Global,Smith 25 of any metal weapon or armour piece.,Smith 25 of any metal weapon or armour piece.,N/A,30
Global,Cook 200 fish.,Cook 200 fish.,N/A,30
Global,Offer 100 bones of any kind to an altar.,"Offer 100 bones ( ashes also work) at the chaos altar in the Wilderness, the altar in Fort Forinthry, or an altar in the player-owned house chapel",N/A,30
Global,Scatter 100 ashes of any kind.,Scatter 100 ashes of any kind.,N/A,30
Global,Restore 500 prayer points at an altar at once.,Restore 500 Prayer Points at an Altar at once.,50 Prayer,30
Global,Catch 25 implings of any kind.,Catch 25 implings of any kind. Cannot be completed in Puro-Puro .,17 Hunter,30
Global,Catch 35 implings of any kind.,Catch 35 Implings of any kind. Cannot be completed in Puro-Puro .,17 Hunter,30
Global,Catch 200 Hunter creatures.,Catch 200 Hunter creatures.,N/A,30
Global,Complete 25 easy clue scrolls.,Complete 25 easy clue scrolls.,N/A,30
Global,Complete 75 easy clue scrolls.,Complete 75 easy clue scrolls.,N/A,30
Global,Collect 25 unique items for the general clue rewards collection log.,Collect 25 unique items for the general clue rewards collection log.,N/A,30
Global,Make 30 prayer potions.,Make 30 prayer potions .,38 Herblore,30
Global,Make a 4-dose potion.,Make a 4-dose potion.,"A botanist's amulet , Morytania legs 4 , Underworld Grimoire 1 , or a varanusaur pen with a farm totem at the Anachronia Dinosaur Farm",30
Global,Make 20 super attack potions.,Make 20 super attack potions.,45 Herblore,30
Global,Clean 50 grimy ranarr.,Clean 50 grimy ranarr .,25 Herblore,30
Global,Clean 50 grimy avantoe.,Clean 50 grimy avantoe .,48 Herblore,30
Global,Harvest 5 grimy ranarr.,Harvest 5 grimy ranarr .,32 Farming,30
Global,Equip an iron crossbow.,Equip an iron crossbow .,10 Ranged,30
Global,Equip a maple shieldbow.,Equip a maple shieldbow .,"30 Ranged , 30 Defence",30
Global,Fletch 50 maple shieldbow (unstrung).,Fletch 50 unstrung maple shieldbows .,45 Fletching,30
Global,Fletch 400 steel arrows.,Fletch 400 steel arrows .,20 Fletching,30
Global,Fletch 100 iron bolts.,Fletch 100 iron bolts .,13 Fletching,30
Global,Mine some ore with a rune pickaxe.,Mine some ore with a rune pickaxe .,50 Mining,30
Global,Mine 20 mithril ore.,Mine 20 mithril ore .,30 Mining,30
Global,Mine 30 adamant ore.,Mine 30 adamantite ore .,40 Mining,30
Global,Mine 40 runite ore.,Mine 40 runite ore .,50 Mining,30
Global,Open 20 igneous geodes.,Open 20 igneous geodes .,N/A,30
Global,Check a grown fruit tree.,Check a tree grown in a fruit tree patch .,27 Farming,30
Global,Catch 100 lobsters.,Catch 100 lobsters .,40 Fishing,30
Global,Catch 50 swordfish.,Catch 50 swordfish .,50 Fishing,30
Global,Catch 50 salmon.,Catch 50 salmon .,30 Fishing,30
Global,Catch 10 pike.,Catch 10 pike .,25 Fishing,30
Global,Make a Pineapple pizza.,Make a pineapple pizza by adding pineapple chunks or a pineapple ring to a plain pizza .,65 Cooking,30
Global,Make a stew.,"Make a stew : add a raw potato to a bowl of water , then add either cooked meat or chicken , and cook the stew at a range .",25 Cooking,30
Global,Make a chocolate cake.,Make a chocolate cake by adding a chocolate bar to a cooked cake .,50 Cooking,30
Global,Bury some baby dragon bones.,Bury some baby dragon bones .,N/A,30
Global,Bury 5 dragon bones.,Bury 5 dragon bones .,N/A,30
Global,Activate Protect from Melee prayer.,Activate the Protect from Melee prayer.,43 Prayer,30
Global,Catch a gourmet impling.,Catch a gourmet impling . Cannot be completed in Puro-Puro .,28 Hunter,30
Global,Light a bullseye lantern.,Light a bullseye lantern .,49 Firemaking Either 36 Thieving and completion of Death to the Dorgeshuun ; or 50 quest points and the Lorehound pet unlocked; or 20 Smithing and 49 Crafting to create from scratch,30
Global,Teleport using law runes.,Teleport using law runes . The lowest level teleport spell is South Feldip Hills Teleport which also requires one air and one water rune,10 Magic,30
Global,Craft some combination runes.,Craft some combination runes : mist runes have the lowest level requirement. They can made by using a pure essence and 1 water rune and a water talisman at the air altar or 1 air rune and an air talisman at the water altar,6 Runecrafting,30
Global,Craft 100 runes.,Craft 100 runes.,N/A,30
Global,"Craft 1,000 runes.","Craft 1,000 runes.",N/A,30
Global,Equip a full set of steel armour.,"Equip a steel full helm , steel platebody , steel platelegs / steel plateskirt , steel gauntlets , and steel armoured boots . Substitutes for pieces (e.g. med helm instead of full helm, chainbody instead of platebody) will work. Steel armour can be bought at Horvik's Armour Shop .",20 Defence,30
Global,Equip a full set of mithril armour.,"Equip a mithril full helm , mithril platebody , mithril platelegs / mithril plateskirt , mithril gauntlets , and mithril armoured boots . Substitutes for pieces (e.g. med helm instead of full helm, chainbody instead of platebody) will work. Mithril armour can be bought at Horvik's Armour Shop .",30 Defence,30
Global,Equip a full set of adamant armour.,"Equip an adamant full helm , adamant platebody , adamant platelegs / adamant plateskirt , adamant gauntlets , and adamant armoured boots . Substitutes for pieces (e.g. med helm instead of full helm, chainbody instead of platebody) will work. Adamant armour can be bought at Horvik's Armour Shop .",40 Defence,30
Global,Equip a full set of rune armour.,"Equip a full set of rune armour (full helm, platebody, legs, boots, and gauntlets).",50 Defence,30
Global,Equip a full set of blue dragonhide armour.,Equip a full set of blue dragonhide armour .,50 Defence,30
Global,Equip a full set of red dragonhide armour.,Equip a full set of red dragonhide armour .,55 Defence,30
Global,Equip a full set of batwing robes.,"Equip a batwing hood , batwing torso , batwing legs , batwing gloves , and batwing boots . Batwing armour can be bought at Zaff's Superior Spellcasting .",30 Defence,30
Global,Equip a full set of mystic robes.,Equip a full set of mystic robes .,50 Defence,30
Global,Create a mithril grapple.,Create a mithril grapple .,"59 Fletching , 30 Smithing",30
Global,Burn 25 willow logs.,Burn 25 willow logs .,30 Firemaking,30
Global,Burn 50 maple logs.,Burn 50 maple logs .,45 Firemaking,30
Global,Equip any elemental battlestaff.,Equip any elemental battlestaff .,30 Magic,30
Global,Equip a mystic staff.,Equip a mystic staff .,40 Magic,30
Global,Complete 100 clues of any tier.,Complete 100 clues of any tier.,N/A,30
Global,Complete a medium clue scroll.,Complete a medium clue scroll .,N/A,30
Global,Complete 25 medium clue scrolls.,Complete 25 medium clue scrolls .,N/A,30
Global,Complete 75 medium clue scrolls.,Complete 75 medium clue scrolls .,N/A,30
Global,Complete a hard clue scroll.,Complete a hard clue scroll .,N/A,30
Global,Complete 25 hard clue scrolls.,Complete 25 hard clue scrolls .,N/A,30
Global,Collect 5 unique items for the easy clue rewards collection log.,Collect 5 unique items for the easy clue rewards collection log .,N/A,30
Global,Collect 10 unique items for the easy clue rewards collection log.,Collect 10 unique items for the easy clue rewards collection log .,N/A,30
Global,Collect 5 unique items for the medium clue rewards collection log.,Collect 5 unique items for the medium clue rewards collection log .,N/A,30
Global,Collect 10 unique items for the medium clue rewards collection log.,Collect 10 unique items for the Medium clue rewards collection log .,N/A,30
Global,Collect 5 unique items for the hard clue rewards collection log.,Collect 5 unique items for the hard clue rewards collection log .,N/A,30
Global,Equip any 2 pieces of an elegant outfit.,Equip any 2 pieces of an elegant outfit .,N/A,30
Global,Equip a composite bow of any kind.,Equip a composite bow of any kind.,20 Ranged,30
Global,Perform a special attack.,Perform a special attack .,5 Attack or 5 Ranged or 5 Magic (claimed from Gudrik in Port Sarim ),30
Global,Reach level 30 in any skill.,Reach level 30 in any skill.,Any skill at level 30,30
Global,Reach level 40 in any skill.,Reach level 40 in any skill.,Any skill at level 40,30
Global,Reach level 60 in any skill.,Reach level 60 in any skill.,Any skill at level 60,30
Global,Reach at least level 30 in all non-elite skills.,Reach at least level 30 in all non-elite skills.,All skills except Invention at level 30,30
Havenhythe,Repair all of the canoe stations across havenhythe.,Repair all of the canoe stations across havenhythe .,40 Construction,30
Havenhythe,Use an oaken key to open Raz's stash in her hut north of Wendlewick.,Use an oaken key to open Raz's stash in her hut north of Wendlewick .,N/A,30
Havenhythe,Complete the quest: Wiz Kid.,Complete Wiz Kid .,Completion of Wiz Kid,30
Havenhythe,Complete the quest: Hermit Permits.,Complete Hermit Permits .,Completion of Hermit Permits,30
Havenhythe,Brew a Wendlewick ale.,Brew a Wendlewick ale .,27 Cooking,30
Havenhythe,Use the Fang of Mohegan to teleport to the Shrine of Inanna.,Use the Fang of Mohegan to teleport to the Shrine of Inanna .,N/A,30
Havenhythe,Search a hollow tree within the Highweald forest.,Search a hollow tree within the Highweald forest .,N/A,30
Havenhythe,Harvest 10 birdhouses.,Harvest 10 birdhouses .,"5 Crafting , 10 Fletching",30
Havenhythe,Use a clockwork box trap to catch a grenwall in a kebbit encounter.,Use a clockwork box trap to catch a grenwall in a kebbit encounter.,"51 Crafting , 13 Fletching",30
Havenhythe,Learn how to use the Wendlewick fish farm.,Learn how to use the Wendlewick fish farm .,"45 Fishing , 25 Farming Completion of Trader Woes",30
Havenhythe,Create an antisanguine potion.,Create an antisanguine potion.,15 Herblore,30
Havenhythe,"Defeat Ivar, King of Bones 25 times.","Defeat Ivar, King of Bones 25 times.",N/A,30
Havenhythe,"Defeat Silverquill, the Dreadhog 25 times.","Defeat Silverquill, the Dreadhog 25 times.",N/A,30
Havenhythe,"Defeat Silverquill, the Dreadhog, solo, using only havensilver weapons.","Defeat Silverquill, the Dreadhog , solo, using only havensilver weapons .",N/A,30
Havenhythe,Recruit Tali as a research assistant and assign her to a Moonrise research project.,Recruit Tali as a research assistant and assign her to a Moonrise research project .,70 Archaeology,30
Havenhythe,Bring a restored bloodwine artefact to Anya.,Bring a restored bloodwine artefact to Anya .,82 Archaeology,30
Havenhythe,Complete the 'Hedge Your Bets' Combat Mastery achievement.,Complete the 'Hedge Your Bets' Combat Mastery achievement.,48 Defence,30
Kandarin,Fletch 50 maple shieldbow (unstrung) in Kandarin.,Fletch 50 unstrung maple shieldbows in Kandarin .,45 Fletching,30
Kandarin,Pickpocket a Knight of Ardougne 50 times.,Pickpocket a knight of Ardougne 50 times.,55 Thieving,30
Kandarin,Complete the Barbarian Outpost Agility Course.,Complete the Barbarian Outpost Agility Course .,35 Agility,30
Kandarin,Equip a spottier cape.,Equip a spottier cape .,66 Hunter,30
Kandarin,Catch a red salamander.,Catch a red salamander .,59 Hunter,30
Kandarin,Enter the Fishing Guild.,Enter the Fishing Guild .,68 Fishing,30
Kandarin,Check a grown papaya tree inside Tree Gnome Stronghold.,Check a grown papaya tree inside Tree Gnome Stronghold .,57 Farming,30
Kandarin,Defeat a mithril dragon.,Defeat a mithril dragon .,N/A,30
Kandarin,Enter the Wizards' Guild.,Enter the Wizards' Guild .,66 Magic,30
Kandarin,Defeat a fire giant in Kandarin.,Defeat a fire giant in Kandarin.,N/A,30
Kandarin,Use the Chivalry Prayer.,Use the Chivalry prayer.,60 Prayer 65 Defence Completion of Knight Waves training ground,30
Kandarin,Complete the Easy Ardougne Diary.,Complete the Easy Ardougne achievements .,See Easy Ardougne achievements page,30
Kandarin,Make one of each type of cocktail.,Make one of each type of cocktail .,37 Cooking,30
Kandarin,"Earn a total of 10,000 beans from selling animals.","Earn a total of 10,000 beans from selling animals.",N/A,30
Kandarin,Hunt 10 spotted kebbits with the help of a falcon.,Hunt 10 spotted kebbits using falconry . You will need to pay 500 to Matthias to borrow a falcon.,43 Hunter,30
Kandarin,Complete the quest: The Needle Skips.,Complete The Needle Skips .,Completion of The Needle Skips,30
Kandarin,Complete the Medium Ardougne Diary.,Complete the Medium Ardougne achievements .,See Medium Ardougne achievements page,30
Kandarin,Complete the quest: Elemental Workshop I.,Complete Elemental Workshop I .,Completion of Elemental Workshop I,30
Kandarin,Equip an ogre bowman hat.,Equip an ogre bowman hat .,"30 Ranged , 5 Fletching",30
Karamja,Complete the Easy Karamja Diary.,Complete the Easy Karamja achievements .,See Easy Karamja achievements page,30
Karamja,Craft 50 nature runes.,Craft 50 nature runes .,44 Runecrafting,30
Karamja,Catch a salmon on Karamja.,Catch a salmon on Karamja.,30 Fishing,30
Karamja,Get Stiles to exchange some of your fish for bank notes.,Get Stiles to exchange some of your fish for bank notes.,N/A,30
Karamja,Convert 100 gleaming memories in an energy rift.,Convert 100 gleaming memories in an energy rift.,50 Divination,30
Karamja,Mine a drakolith rock in the Tai Bwo Wannai mine.,Mine a drakolith rock in the Tai Bwo Wannai mine .,60 Mining,30
Karamja,Mine a ruby from a gem rock in Shilo Village.,Mine a ruby from a gem rock in Shilo Village .,30 Mining,30
Karamja,Enter the Hardwood Grove in Tai Bwo Wannai.,Enter the hardwood grove in Tai Bwo Wannai.,N/A,30
Karamja,Complete the quest: Dragon Slayer.,Complete Dragon Slayer .,Completion of Dragon Slayer,30
Karamja,Check a grown banana tree on Karamja.,Check a grown banana tree on Karamja.,33 Farming,30
Karamja,Defeat a TzHaar.,Defeat a TzHaar .,N/A,30
Karamja,Equip an obsidian cape.,Equip an obsidian cape .,N/A,30
Karamja,Kill a metal dragon in Brimhaven Dungeon.,Kill a metal dragon in Brimhaven Dungeon .,N/A,30
Karamja,Catch 25 lobsters on Karamja.,Catch 25 lobsters on Karamja.,40 Fishing,30
Karamja,Equip a Toktz-Ket-Xil.,Equip a Toktz-ket-xil .,60 Defence,30
Karamja,Equip a Tzhaar-Ket-Om.,Equip a TzHaar-Ket-Om .,60 Strength,30
Karamja,Equip a Toktz-Xil-Ak.,Equip a Toktz-xil-ak .,60 Attack,30
Karamja,Equip a Toktz-Xil-Ek.,Equip a Toktz-xil-ek .,60 Attack,30
Karamja,Complete the Medium Karamja Diary.,Complete the Medium Karamja achievements .,See Medium Karamja achievements page,30
Misthalin,Kill the lesser demon in the Wizards' Tower.,Kill the lesser demon in the Wizards' Tower .,Cannot be attacked with short-range melee,30
Misthalin,Hunt a yellow wizard in the RuneSpan and give them some items.,Hunt a yellow wizard in the Runespan and give them some items.,N/A,30
Misthalin,Siphon from a nature esshound in the Runespan.,Siphon from a nature esshound in the Runespan.,44 Runecrafting,30
Misthalin,Siphon rune dust from a Runesphere in the Runespan.,Siphon rune dust from a Runesphere in the RuneSpan.,N/A,30
Misthalin,Fully complete the Stronghold of Player Safety.,Fully complete the Stronghold of Player Safety by pulling an old lever on the upper floor and then opening the treasure chest in the secure sector.,N/A,30
Misthalin,Complete this quest.,Complete New Foundations .,Completion of New Foundations,30
Misthalin,Complete the Beginner Lumbridge Diary.,Complete the Beginner Lumbridge achievements .,See Beginner Lumbridge achievements page,30
Misthalin,Enter Zanaris via Lumbridge Swamp.,Enter Zanaris via Lumbridge Swamp .,N/A,30
Misthalin,Complete the Easy Lumbridge Diary.,Complete the Easy Lumbridge achievements .,See Easy Lumbridge achievements page,30
Misthalin,Complete the Medium Lumbridge Diary.,Complete the Medium Lumbridge achievements .,See Medium Lumbridge achievements page,30
Misthalin,Drink from the Tears of Guthix.,Drink from the Tears of Guthix .,N/A,30
Misthalin,Catch 20 implings in Puro-Puro.,Catch 20 implings in Puro-Puro .,17 Hunter,30
Misthalin,Complete the miniquest: Sheep Shearer.,Complete Sheep Shearer .,Completion of Sheep Shearer (miniquest),30
Misthalin,Cut a willow tree east of Lumbridge Castle.,"Cut the willow tree east of Lumbridge Castle, by the bridge across the River Lum.",20 Woodcutting,30
Misthalin,Craft 50 water runes.,Craft 50 water runes .,5 Runecrafting Water talisman or equivalent,30
Misthalin,Pickpocket a H.A.M. member.,Pickpocket a H.A.M. Member .,15 Thieving,30
Misthalin,Churn some butter.,Make a pat of butter by using a bucket of milk at a dairy churn,38 Cooking Bucket of milk,30
Misthalin,Craft 50 cosmic runes.,Craft 50 cosmic runes .,"27 Runecrafting Cosmic talisman or equivalent, Completion of Lost City quest",30
Misthalin,Steal a lantern from a cave goblin.,Steal a lantern from a cave goblin (only the ones in Dorgesh-Kaan have the lantern as a possible loot from pickpocketting).,36 Thieving,30
Misthalin,Use the range in Lumbridge Castle to bake a cake.,Use the range in Lumbridge Castle to bake a cake .,40 Cooking Completion of Cook's Assistant quest,30
Misthalin,Smith a mithril platebody on the anvil in the jailhouse sewers.,Smith a mithril platebody on the anvil in Draynor Sewers .,30 Smithing,30
Misthalin,Have either a putrid zombie or vengeful ghost conjured while fighting the matching creature.,Have either a Putrid Zombie or Vengeful Ghost conjured while fighting the matching creature.,"40 Necromancy Unlock the ability to conjure at tier 3 of talents , conduit , ectoplasm",30
Misthalin,Learn how to craft moonstone jewellery.,Complete the Mystical Moonstone achievement.,50 Necromancy Brown apron or keepsaked override,30
Misthalin,Upgrade a piece of Death Skull or Deathwarden equipment to tier 50.,Upgrade a piece of Death Skull or Deathwarden equipment to tier 50.,20 Necromancy,30
Misthalin,Complete a communion ritual using a memento.,Complete a communion ritual using a memento .,5 Necromancy,30
Misthalin,Conjure a phantom guardian at the City of Um ritual site.,Conjure a Phantom Guardian at the Um ritual site .,70 Necromancy Conjure Phantom Guardian unlocked from the Well of Souls,30
Misthalin,Complete the Easy City of Um Diary.,Complete the Easy Underworld achievements .,See Easy Underworld achievements page,30
Misthalin,Complete the Medium City of Um Diary.,Complete the Medium Underworld achievements .,See Medium Underworld achievements page,30
Misthalin,Complete the Easy Varrock Diary.,Complete the Easy Varrock achievements .,See Easy Varrock achievements page,30
Misthalin,Complete the Medium Varrock Diary.,Complete the Medium Varrock achievements .,See Medium Varrock achievements page,30
Misthalin,Browse through Oziach's Armour Shop.,Browse through Oziach's Armour Shop .,N/A,30
Misthalin,Enter the Cooks' Guild.,Enter the Cooks' Guild .,"32 Cooking Chef's hat or equivalent, see Cooks' Guild for alternatives",30
Misthalin,Complete the quest: Demon Slayer.,Complete Demon Slayer .,N/A,30
Misthalin,Complete the quest: Vampire Slayer.,Complete Vampyre Slayer .,N/A,30
Misthalin,Mine 50 pure essence.,Mine 50 pure essence .,30 Mining,30
Misthalin,Pickpocket a Varrock guard.,Pickpocket a Varrock guard .,40 Thieving,30
Misthalin,Gather and convert 50 bright memories.,Gather and convert 50 bright memories .,20 Divination,30
Morytania,Complete the easy Morytania Diary.,Complete the Easy Morytania achievements .,See Easy Morytania achievements page,30
Morytania,Take a medium companion through a medium route of Temple Trekking.,Take a medium companion through a medium route of Temple Trekking .,N/A,30
Morytania,Visit Mos Le'Harmless.,Visit Mos Le'Harmless .,N/A,30
Morytania,Visit Harmony Island.,Visit Harmony Island .,N/A,30
Morytania,Visit the Everlight dig site.,Visit the Everlight dig site .,42 Archaeology,30
Morytania,Defeat the six Barrows Brothers and loot their chest.,Defeat the six Barrows Brothers and loot their chest once.,N/A,30
Morytania,Defeat the six Barrows Brothers and loot their chest 50 times.,Defeat the six Barrows Brothers and loot their chest 50 times.,N/A,30
Morytania,Equip a Barrows weapon.,Equip a barrows weapon .,"Either 70 Magic , 70 Attack , or 70 Ranged",30
Morytania,Equip a piece of Barrows armour.,Equip a piece of barrows armour .,70 Defence,30
Morytania,Equip a Salve Amulet (e).,Equip a salve amulet (e) .,Completion of Lair of Tarn Razorlor (miniquest),30
Morytania,Catch 10 green salamanders.,Catch 10 green salamanders . They can only be caught at the Canifis Hunter area using net traps,29 Hunter,30
Morytania,Complete the quest: Haunted Mine.,Complete Haunted Mine .,See quest page,30
Morytania,Harvest bittercap mushrooms in the farming patch near Canifis.,Harvest bittercap mushrooms in the farming patch near Canifis .,53 Farming,30
Morytania,Complete the Medium Morytania Diary.,Complete the Medium Morytania achievements .,See Medium Morytania achievements page,30
Tirannwn,Complete the Easy Tirannwn Diary.,Complete the Easy Tirannwn achievements .,See Easy Tirannwn achievements page,30
Tirannwn,Check a grown papaya tree in Lletya.,Check a grown papaya tree in Lletya .,57 Farming,30
Tirannwn,Craft 50 death runes.,Craft 50 death runes .,65 Runecrafting,30
Tirannwn,Enter your player-owned house from Prifddinas.,Enter your player-owned house from Prifddinas .,N/A,30
Tirannwn,Use an elven teleport crystal.,Use a crystal teleport seed .,N/A,30
Tirannwn,Equip Iban's staff.,Equip Iban's staff .,50 Magic,30
Tirannwn,Catch 10 pawyas in Isafdar.,Catch 10 pawyas in Isafdar .,66 Hunter,30
Tirannwn,Mine 200 soft clay in Prifddinas.,Mine 200 soft clay in Prifddinas.,75 Mining,30
Tirannwn,Use the fairy ring in the Amlodd district.,Use the fairy ring to teleport to the Amlodd district. Players may need to travel to the fairy ring using the code D J S to complete this achievement.,N/A,30
Tirannwn,Complete the Medium Tirannwn Diary.,Complete the Medium Tirannwn achievements .,See Medium Tirannwn achievements page,30
Tirannwn,Help Teelee with the wisps of the Grove.,Help Teelee with the wisps of the Grove .,N/A,30
Wilderness,Complete the Easy Wilderness Diary.,Complete the Easy Wilderness achievements .,See Easy Wilderness achievements page,30
Wilderness,Defeat the King Black Dragon.,Defeat the King Black Dragon once.,N/A,30
Wilderness,Defeat the King Black Dragon 25 times.,Defeat the King Black Dragon 25 times.,N/A,30
Wilderness,Sacrifice dragon bones on the Chaos Altar.,Sacrifice dragon bones on the Chaos Altar .,N/A,30
Wilderness,Cast the Claws of Guthix special attack.,Cast the Claws of Guthix special attack.,60 Magic Completion of Mage Arena,30
Wilderness,Defeat 5 green dragons.,Defeat 5 green dragons .,N/A,30
Wilderness,Complete 10 laps of the Wilderness agility course.,Complete 10 laps of the Wilderness Agility Course .,52 Agility,30
Wilderness,"Equip a Saradomin, Zamorak, or Guthix cape.","Equip a Saradomin , Zamorak , or Guthix cape .",60 Magic Completion of Mage Arena,30
Wilderness,Visit any Runecrafting altar through the Abyss.,Visit any Runecrafting altar through the Abyss .,N/A,30
Wilderness,Defeat 10 fetid zombies.,Defeat 10 fetid zombies .,N/A,30
Wilderness,Defeat 20 bound skeletons.,Defeat 20 bound skeletons .,N/A,30
Wilderness,Defeat the Rammernaut.,Defeat the Rammernaut .,35 Dungeoneering,30
Wilderness,Defeat Bossy McBossFace.,Defeat Bossy McBossFace .,N/A,30
Wilderness,Activate and teleport from each of the Wilderness teleport obelisks.,Activate and teleport from each of the Wilderness teleport obelisks .,N/A,30
Wilderness,Defeat Bossy McBossface's first mate.,Defeat Bossy McBossFace's First mate .,N/A,30
